id,title,original_language,release_date,budget,revenue,runtime,popularity,vote_average,vote_count,genres_0_name,genres_1_name,genres_2_name,production_companies_0_name,production_companies_1_name,production_companies_2_name,production_countries_0_name,movie_id,actor_1,actor_2,actor_3,profit,roi
9880,The Princess Diaries,en,2001-08-03,37000000,165335153.0,115.0,72.237,7.0,4891.0,Comedy,Family,Romance,Bottom of the Ninth Productions,Walt Disney Pictures,BrownHouse Productions,United States of America,9880,Anne Hathaway,Hector Elizondo,Julie Andrews,128335153.0,3.468517648648649
340101,Their Finest,en,2017-02-19,11795877,3603484.0,117.0,23.246,6.672,402.0,Romance,War,Drama,BBC Film,HanWay Films,Number 9 Films,France,340101,Sam Claflin,Bill Nighy,Jeremy Irons,-8192393.0,-0.6945132608622487
10328,Cocoon,en,1985-06-21,17500000,85300000.0,117.0,22.864,6.6,1262.0,Drama,Comedy,Science Fiction,SLM Production Group,Zanuck/Brown Productions,20th Century Fox,United States of America,10328,Steve Guttenberg,Brian Dennehy,Linda Harrison,67800000.0,3.874285714285714
739405,Operation Fortune: Ruse de Guerre,en,2023-01-04,50000000,37800000.0,113.0,59.19,6.5,1486.0,Action,Thriller,Comedy,Miramax,STXfilms,Toff Guy Films,Turkey,739405,Jason Statham,Aubrey Plaza,Josh Hartnett,-12200000.0,-0.244
3638,No Reservations,en,2007-06-15,28000000,92601050.0,104.0,31.365,6.638,1315.0,Comedy,Romance,Drama,Castle Rock Entertainment,Storefront Pictures,Village Roadshow Pictures,Australia,3638,Abigail Breslin,Aaron Eckhart,Zoë Kravitz,64601050.0,2.3071803571428573
308266,War Dogs,en,2016-08-18,50000000,86234523.0,114.0,47.066,6.922,4852.0,Comedy,Crime,Drama,The Mark Gordon Company,Joint Effort,RatPac Entertainment,United States of America,308266,Ana de Armas,Bradley Cooper,Miles Teller,36234523.0,0.72469046
11892,Murder by Numbers,en,2002-04-19,50000000,56714147.0,120.0,23.723,6.1,1005.0,Crime,Drama,Thriller,Castle Rock Entertainment,Schroeder Hoffman Productions,Warner Bros. Pictures,United States of America,11892,Ryan Gosling,Sandra Bullock,Chris Penn,6714147.0,0.13428294
228150,Fury,en,2014-10-15,68000000,211817906.0,135.0,128.201,7.539,11865.0,War,Drama,Action,Columbia Pictures,QED International,LStar Capital,United States of America,228150,Brad Pitt,Shia LaBeouf,Jon Bernthal,143817906.0,2.114969205882353
1041613,Immaculate,en,2024-03-20,9000000,28369692.0,89.0,140.353,6.291,1140.0,Horror,Mystery,Thriller,Black Bear Pictures,Fifty-Fifty Films,Middle Child Films,United States of America,1041613,Sydney Sweeney,Benedetta Porcaroli,Álvaro Morte,19369692.0,2.152188
974635,Hit Man,en,2024-05-16,8800000,5101673.0,116.0,103.59,6.9,925.0,Comedy,Romance,Crime,Aggregate Films,BarnStorm Productions,Detour Filmproduction,United States of America,974635,Adria Arjona,Glen Powell,Austin Amelio,-3698327.0,-0.4202644318181818
406990,What Happened to Monday,en,2017-08-18,20000000,27975429.0,123.0,60.857,7.16,5993.0,Science Fiction,Thriller,Drama,Nexus Factory,Vendôme Pictures,Raffaella Productions,Belgium,406990,Willem Dafoe,Noomi Rapace,Glenn Close,7975429.0,0.39877145
